iter	Passed	Remaining
256	3603	3407
257	3618	3393
258	3631	3378
259	3645	3365
260	3659	3351
261	3672	3336
262	3685	3321
263	3699	3306
264	3713	3293
265	3728	3279
266	3741	3265
267	3755	3251
268	3768	3236
269	3782	3222
270	3796	3207
271	3809	3192
272	3822	3178
273	3834	3162
274	3847	3148
275	3861	3133
276	3875	3119
277	3888	3105
278	3901	3090
279	3915	3076
280	3929	3062
281	3942	3047
282	3956	3033
283	3968	3018
284	3983	3004
285	3996	2990
286	4010	2976
287	4023	2962
288	4037	2947
289	4050	2933
290	4063	2918
291	4077	2904
292	4091	2890
293	4104	2876
294	4118	2861
295	4131	2847
296	4144	2832
297	4158	2818
298	4173	2805
299	4186	2790
300	4199	2776
301	4212	2762
302	4226	2747
303	4239	2733
304	4252	2718
305	4265	2704
306	4278	2689
307	4291	2675
308	4304	2660
309	4317	2646
310	4331	2632
311	4344	2617
312	4357	2603
313	4371	2589
314	4384	2575
315	4398	2561
316	4412	2547
317	4425	2532
318	4437	2517
319	4450	2503
320	4464	2489
321	4477	2475
322	4493	2462
323	4507	2448
324	4520	2434
325	4533	2419
326	4546	2405
327	4560	2391
328	4574	2377
329	4587	2363
330	4601	2349
331	4614	2335
332	4628	2321
333	4642	2307
334	4656	2293
335	4670	2279
336	4683	2265
337	4697	2251
338	4711	2237
339	4725	2223
340	4739	2209
341	4754	2196
342	4766	2181
343	4780	2168
344	4794	2153
345	4807	2139
346	4821	2126
347	4834	2111
348	4847	2097
349	4861	2083
350	4875	2069
351	4888	2055
352	4902	2041
353	4914	2027
354	4927	2012
355	4941	1998
356	4954	1984
357	4968	1970
358	4983	1957
359	4997	1943
360	5011	1929
361	5023	1915
362	5037	1901
363	5050	1887
364	5063	1872
365	5077	1859
366	5091	1845
367	5105	1831
368	5118	1817
369	5131	1803
370	5144	1788
371	5157	1774
372	5170	1760
373	5185	1746
374	5198	1732
375	5212	1719
376	5227	1705
377	5240	1691
378	5253	1677
379	5267	1663
380	5280	1649
381	5294	1635
382	5307	1621
383	5320	1607
384	5333	1593
385	5346	1578
386	5359	1565
387	5373	1551
388	5386	1536
389	5399	1522
390	5413	1509
391	5426	1495
392	5439	1481
393	5452	1466
394	5464	1452
395	5478	1438
396	5491	1424
397	5504	1410
398	5517	1396
399	5530	1382
400	5544	1368
401	5558	1354
402	5572	1341
403	5586	1327
404	5599	1313
405	5612	1299
406	5625	1285
407	5637	1271
408	5650	1257
409	5664	1243
410	5678	1229
411	5693	1216
412	5706	1202
413	5719	1188
414	5732	1174
415	5745	1160
416	5758	1146
417	5771	1132
418	5785	1118
419	5798	1104
420	5811	1090
421	5825	1076
422	5839	1062
423	5853	1049
424	5867	1035
425	5882	1021
426	5896	1008
427	5912	994
428	5926	980
429	5939	966
430	5953	953
431	5966	939
432	5979	925
433	5992	911
434	6006	897
435	6018	883
436	6032	869
437	6046	855
438	6060	842
439	6072	828
440	6085	814
441	6099	800
442	6112	786
443	6125	772
444	6139	758
445	6152	744
446	6166	731
447	6179	717
448	6192	703
449	6206	689
450	6220	675
451	6233	661
452	6247	648
453	6260	634
454	6273	620
455	6286	606
456	6300	592
457	6314	579
458	6327	565
459	6340	551
460	6353	537
461	6366	523
462	6380	509
463	6393	496
464	6406	482
465	6420	468
466	6434	454
467	6447	440
468	6460	427
469	6474	413
470	6486	399
471	6501	385
472	6515	371
473	6529	358
474	6542	344
475	6555	330
476	6569	316
477	6582	302
478	6595	289
479	6609	275
480	6621	261
481	6636	247
482	6650	234
483	6664	220
484	6676	206
485	6689	192
486	6703	178
487	6717	165
488	6729	151
489	6741	137
490	6754	123
491	6767	110
492	6781	96
493	6794	82
494	6808	68
495	6822	55
496	6834	41
497	6847	27
498	6861	13
499	6873	0
