iter	Logloss
247	0.2426028227
248	0.2425918496
249	0.2425648614
250	0.2425397985
251	0.2425198391
252	0.2425005053
253	0.2424808773
254	0.2424565513
255	0.2424246776
256	0.2424010122
257	0.2423681952
258	0.2423461326
259	0.2423055845
260	0.2422686813
261	0.2422490402
262	0.2422175888
263	0.2421946456
264	0.2421535827
265	0.2421134379
266	0.2420865621
267	0.2420508643
268	0.2420286586
269	0.2420049082
270	0.2419789331
271	0.2419563967
272	0.2419302639
273	0.2419077469
274	0.2418794567
275	0.2418417903
276	0.2418150319
277	0.2417950018
278	0.2417677262
279	0.2417291837
280	0.2417080159
281	0.2416850289
282	0.2416510652
283	0.2416225331
284	0.2415893488
285	0.2415672797
286	0.2415371953
287	0.2415064908
288	0.241480729
289	0.2414495765
290	0.2414366593
291	0.2414086604
292	0.2413729943
293	0.2413536354
294	0.2413254213
295	0.2412943336
296	0.2412845233
297	0.241248718
298	0.2412233103
299	0.2412049762
300	0.2411670947
301	0.2411286199
302	0.2411083813
303	0.2410871405
304	0.241057635
305	0.2410261839
306	0.2410033973
307	0.240979802
308	0.2409509733
309	0.2409285236
310	0.2409051593
311	0.2408915755
312	0.2408694693
313	0.2408443676
314	0.24082259
315	0.2407907741
316	0.2407600434
317	0.2407461579
318	0.2407324753
319	0.2407154903
320	0.2406919403
321	0.2406751906
322	0.2406412819
323	0.240612053
324	0.240589406
325	0.2405592261
326	0.2405354508
327	0.2405147185
328	0.2404970917
329	0.2404750774
330	0.2404456053
331	0.2404171315
332	0.2403866593
333	0.240369478
334	0.2403535636
335	0.2403400397
336	0.2403061737
337	0.2402844931
338	0.2402549248
339	0.2402286786
340	0.240209076
341	0.2401748263
342	0.2401592246
343	0.2401307097
344	0.2401099112
345	0.2400787794
346	0.2400531844
347	0.2400313857
348	0.2400005255
349	0.239976613
350	0.2399462523
351	0.239915754
352	0.2398890367
353	0.2398701758
354	0.2398575411
355	0.2398447727
356	0.2398205954
357	0.2397979583
358	0.2397749056
359	0.2397499286
360	0.2397371929
361	0.2397158673
362	0.23969178
363	0.2396684262
364	0.23964899
365	0.2396187592
366	0.2395879735
367	0.2395601012
368	0.2395407289
369	0.2395309362
370	0.2395087509
371	0.2394862545
372	0.2394633406
373	0.2394333794
374	0.2394073491
375	0.2393898492
376	0.2393551831
377	0.2393343722
378	0.2393093382
379	0.2392854125
380	0.2392584653
381	0.2392346598
382	0.239217129
383	0.2391816254
384	0.2391672341
385	0.239148501
386	0.2391271948
387	0.2390957223
388	0.2390757394
389	0.2390542377
390	0.2390276285
391	0.2390067676
392	0.2389817732
393	0.2389689372
394	0.2389567828
395	0.2389409903
396	0.2389229659
397	0.2389058725
398	0.2388771412
399	0.2388452433
400	0.2388129489
401	0.2387951956
402	0.2387759404
403	0.2387413314
404	0.2387188473
405	0.2386907964
406	0.2386730437
407	0.2386465385
408	0.2386267924
409	0.2385975552
410	0.2385702271
411	0.2385408108
412	0.2385133955
413	0.2384893174
414	0.238469392
415	0.2384538157
416	0.2384396023
417	0.2384235002
418	0.2384013105
419	0.2383788323
420	0.238362378
421	0.2383331029
422	0.2383135873
423	0.2382847227
424	0.238259752
425	0.2382408438
426	0.2382089372
427	0.2381832408
428	0.2381668303
429	0.23815103
430	0.2381254322
431	0.2381067239
432	0.2380863569
433	0.2380619354
434	0.2380432423
435	0.2380215491
436	0.2379929566
437	0.2379727066
438	0.2379557301
439	0.2379428853
440	0.2379182232
441	0.237901076
442	0.2378755781
443	0.2378570394
444	0.2378281436
445	0.2377955083
446	0.2377762365
447	0.2377560061
448	0.237741246
449	0.2377218107
450	0.2377089001
451	0.2376885905
452	0.237662069
453	0.2376491946
454	0.237630952
455	0.2376148309
456	0.237581352
457	0.2375597393
458	0.2375405431
459	0.2375168607
460	0.2374846844
461	0.2374565605
462	0.2374350871
463	0.2374189145
464	0.2374004161
465	0.2373818358
466	0.2373601261
467	0.2373280508
468	0.2373052535
469	0.2372859509
470	0.2372693782
471	0.2372493283
472	0.2372356617
473	0.2372158752
474	0.2371918616
475	0.2371760695
476	0.2371478638
477	0.2371236308
478	0.237108327
479	0.2370946469
480	0.2370802429
481	0.2370498393
482	0.2370239502
483	0.236995214
484	0.2369837408
485	0.236964305
486	0.2369422361
487	0.2369197273
488	0.2369068872
489	0.2368977431
490	0.2368776449
491	0.2368595637
492	0.2368478755
493	0.236823192
494	0.2368052198
495	0.2367785611
496	0.2367660173
497	0.2367450237
498	0.2367182861
499	0.2367045981
