Model,Threshold,Accuracy,Precision,Recall,F1,Cost_per_100,ROC_AUC,Gini,PR_AUC,KS
CatBoost fold 0,0.16666666666666666,0.8639486199747978,0.25731098430813126,0.3632930513595166,0.30125260960334027,34.16527783423438,0.7563280460459565,0.512656092091913,0.2480153077529444,0.37570623148241544
CatBoost fold 1,0.16666666666666666,0.8695378236657046,0.27296344405269996,0.3703423967774421,0.31428266210874906,33.378724442095844,0.7629488889616214,0.5258977779232428,0.24751812879496835,0.3920934825894906
CatBoost fold 2,0.16666666666666666,0.8646396487947644,0.25501275975209625,0.35221550855991945,0.29583421442165364,34.45388398845575,0.7508377401483165,0.501675480296633,0.23460245855301795,0.3727071926657061
CatBoost fold 3,0.16666666666666666,0.8669742484908843,0.2621556664817896,0.35699899295065457,0.3023131862274811,34.0663807646186,0.7569190361850426,0.5138380723700853,0.23862291296522914,0.38720861413831903
CatBoost fold 4,0.16666666666666666,0.8623808459177659,0.2547748379183459,0.36606243705941593,0.30044426077074077,34.23304404382025,0.7564874348612479,0.5129748697224958,0.23982297455327872,0.3828453088353312
