Model,Threshold,Accuracy,Precision,Recall,F1,Cost_per_100,ROC_AUC,Gini,PR_AUC,KS
CatBoost + bureau + previous fold 0,0.16666666666666666,0.8651477582212105,0.2700742531514419,0.39375629405840884,0.32039332172487966,33.0616641599935,0.776774147976806,0.553548295953612,0.2725010358722172,0.4167500159751914
CatBoost + bureau + previous fold 1,0.16666666666666666,0.871163773830332,0.2896,0.41012084592145015,0.33948108783994996,31.931628795577417,0.7820066688352849,0.5640133376705698,0.2770847066607535,0.4266850264475694
CatBoost + bureau + previous fold 2,0.16666666666666666,0.8660623551888135,0.2659155937052933,0.3743705941591138,0.3109577582601422,33.59619527661477,0.7662536662229236,0.5325073324458471,0.2589817040099854,0.39488297365217806
CatBoost + bureau + previous fold 3,0.16666666666666666,0.8682547102701165,0.2764517278232989,0.3907351460221551,0.32380554976006676,32.848925834840756,0.7737972713858937,0.5475945427717874,0.2582700594882281,0.4173855773050813
CatBoost + bureau + previous fold 4,0.16666666666666666,0.8629499400418691,0.26702539095342187,0.3997985901309164,0.32019356789998993,33.086725879555296,0.7742098078176499,0.5484196156352998,0.2624345127757884,0.4102735543150814
