Model,Threshold,Accuracy,Precision,Recall,F1,Cost_per_100,ROC_AUC,Gini,PR_AUC,KS
CatBoost + all history fold 0,0.16666666666666666,0.8670785740417056,0.28361981799797775,0.42371601208459214,0.33979406420351305,31.901142229990654,0.7869737566013164,0.5739475132026328,0.28834410945880046,0.436472853641197
CatBoost + all history fold 1,0.16666666666666666,0.871692207633836,0.2939623305756029,0.4204431017119839,0.346006422873718,31.545465631478397,0.790669452918161,0.5813389058363221,0.2879079269590553,0.4450689426917006
CatBoost + all history fold 2,0.16666666666666666,0.8660420308117556,0.27214198712371673,0.39375629405840884,0.3218438110916761,32.97223690093898,0.7749928362120961,0.5499856724241923,0.2677106548284141,0.4112837396598208
CatBoost + all history fold 3,0.16666666666666666,0.8678482144671856,0.28099030470914127,0.4086102719033233,0.33299138284776364,32.31235137497205,0.7834125675812851,0.5668251351625702,0.26871235585059855,0.43108676653352523
CatBoost + all history fold 4,0.16666666666666666,0.8642507266112477,0.27756778964667217,0.425226586102719,0.3358854529183653,32.135525700697144,0.7808613900077522,0.5617227800155045,0.27126767761770515,0.4180975076881334
