Model,Threshold,Accuracy,Precision,Recall,F1,Cost_per_100,ROC_AUC,Gini,PR_AUC,KS
CatBoost + bureau + previous + installments fold 0,0.16666666666666666,0.8669972765334742,0.2816638370118846,0.4176737160120846,0.3364429121881971,32.104386000569086,0.7844443049166406,0.5688886098332813,0.28226361548674506,0.4294284956000872
CatBoost + bureau + previous + installments fold 1,0.16666666666666666,0.8704524206333076,0.2907665505226481,0.4201913393756294,0.3436985172981878,31.677574082354376,0.7880599081921896,0.5761198163843793,0.2840859832695899,0.4388949709652289
CatBoost + bureau + previous + installments fold 2,0.16666666666666666,0.8660623551888135,0.26962337205209436,0.3856998992950655,0.31738139631240936,33.230356489573595,0.7727094358720193,0.5454188717440387,0.26573401841261785,0.4094282907613966
CatBoost + bureau + previous + installments fold 3,0.16666666666666666,0.8675839921952806,0.278754132590917,0.4033232628398791,0.3296635456322667,32.50950183939351,0.7806779718303611,0.5613559436607223,0.2677387448563528,0.42869988658142655
CatBoost + bureau + previous + installments fold 4,0.16666666666666666,0.8635393589561188,0.2733884297520661,0.4164149043303122,0.3300738375573738,32.49120952826162,0.7805049405401364,0.5610098810802728,0.26940584353194497,0.4194719611603006
