Model,Threshold,Accuracy,Precision,Recall,F1,Cost_per_100,ROC_AUC,Gini,PR_AUC,KS
CatBoost fold 0,0.16666666666666666,0.8623226698101704,0.2552410901467505,0.3678247734138973,0.30136138613861385,34.181537335880655,0.7570528855648615,0.514105771129723,0.247264468465382,0.3790414284025321
CatBoost fold 1,0.16666666666666666,0.8676883053534409,0.2700253715114172,0.37512588116817724,0.31401475237091675,33.409211007682615,0.7635956337297185,0.527191267459437,0.24751743565448592,0.3910842735317908
CatBoost fold 2,0.16666666666666666,0.8628511036136742,0.2505391804457225,0.350956696878147,0.2923657718120805,34.673387260680464,0.7514195655237781,0.5028391310475562,0.23576981026719135,0.3694376220543584
CatBoost fold 3,0.16666666666666666,0.865836060242678,0.2610434466460643,0.36153071500503525,0.30317745170484534,34.03386110038414,0.757282900086584,0.5145658001731681,0.23861126308234218,0.3864117907133747
CatBoost fold 4,0.16666666666666666,0.8610190849779477,0.2533562822719449,0.37059415911379656,0.3009609486812513,34.22288164874698,0.7564295276869769,0.5128590553739538,0.23749895484966393,0.3793722644106481
