Model,Threshold,Accuracy,Precision,Recall,F1,Cost_per_100,ROC_AUC,Gini,PR_AUC,KS
CatBoost native categorical fold 0,0.16666666666666666,0.8620381285313605,0.254104086622424,0.36631419939577037,0.3000618684264797,34.258769968700456,0.7569463972770704,0.5138927945541407,0.24856175806216452,0.3809214579438337
CatBoost native categorical fold 1,0.16666666666666666,0.868196414779887,0.2697452812900861,0.37059415911379656,0.31222823205005834,33.504735579854476,0.7632638952437123,0.5265277904874246,0.24639098588936628,0.3959017678246955
CatBoost native categorical fold 2,0.16666666666666666,0.8628917523677899,0.25170068027210885,0.3539778449144008,0.2942038083281021,34.571765375391244,0.751848246146639,0.5036964922932781,0.2360784063888841,0.3718123815637163
CatBoost native categorical fold 3,0.16666666666666666,0.8660799577244365,0.26100456621004564,0.3597683786505539,0.30252990367312377,34.0663807646186,0.7578310226906837,0.5156620453813674,0.2389918280184687,0.3816371457528753
CatBoost native categorical fold 4,0.16666666666666666,0.8609174610272149,0.25448948178553105,0.37462235649546827,0.30308585395661475,34.102965386882374,0.756962081093111,0.513924162186222,0.23722114495990004,0.3794531997479449
