Model,Threshold,Accuracy,Precision,Recall,F1,Cost_per_100,ROC_AUC,Gini,PR_AUC,KS
CatBoost + bureau fold 0,0.16666666666666666,0.8647209463029958,0.26595744680851063,0.38393756294058407,0.31423861528951164,33.421405633917324,0.7675175821731559,0.5350351643463118,0.2621195430619258,0.40021283185259454
CatBoost + bureau fold 1,0.16666666666666666,0.8695581480427624,0.27892263195950834,0.38846928499496475,0.3247053872053872,32.79134994512418,0.773147250741928,0.546294501483856,0.2635692446805795,0.4046654238301763
CatBoost + bureau fold 2,0.16666666666666666,0.8648835413194585,0.25865800865800864,0.3610271903323263,0.30138713745271123,34.144953457176534,0.7602580154826879,0.5205160309653758,0.24723296607591846,0.3862786799215112
CatBoost + bureau fold 3,0.16666666666666666,0.8673400947135221,0.27093419401111707,0.38041289023162134,0.31647292910252384,33.27371394890348,0.7647732206321562,0.5295464412643125,0.25086707465709956,0.39674491766716435
CatBoost + bureau fold 4,0.16666666666666666,0.8621369484360074,0.26157760814249365,0.38821752265861026,0.31255700820918214,33.54200117883783,0.7665763419396209,0.5331526838792418,0.2543206875233189,0.39392285163492835
