Model,Threshold,Accuracy,Precision,Recall,F1,Cost_per_100,ROC_AUC,Gini,PR_AUC,KS
CatBoost tuned fold 0,0.16666666666666666,0.8673834396975733,0.28138379859564994,0.4136455186304129,0.33493018040974415,32.195845697329375,0.7883945522704922,0.5767891045409843,0.28507415066633424,0.44170366565516433
CatBoost tuned fold 1,0.16666666666666666,0.8707572862891753,0.2934763799965392,0.4269889224572004,0.34786175776843403,31.427584244542906,0.7910892664748753,0.5821785329497506,0.287776137822412,0.43850513176582745
CatBoost tuned fold 2,0.16666666666666666,0.865472948254136,0.27294561674386686,0.40055387713997986,0.32466074890317315,32.80964188447624,0.7766594104787014,0.5533188209574027,0.26567310520034837,0.41854086275829994
CatBoost tuned fold 3,0.16666666666666666,0.865876709822971,0.27497001884529726,0.4040785498489426,0.3272504842491589,32.65584032844861,0.7819441701141001,0.5638883402282002,0.26213061780951574,0.4274667415324103
CatBoost tuned fold 4,0.16666666666666666,0.8625027946586451,0.273626195493597,0.42497482376636453,0.3329060250468396,32.318448812016015,0.7838996769644692,0.5677993539289383,0.2719380018411708,0.42457027510689316
