number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_max_ctr_complexity,params_min_data_in_leaf,params_random_strength,system_attrs_tpe:relative_params:0,state
25,0.5634456667583313,2026-09-13 02:03:47.289228,2026-09-13 02:05:13.244738,0 days 00:01:25.955510,0.26184214026487423,128,7,1.9731043368656858,0.12085115288381722,1,41,0.5876404604448352,"{""bagging_temperature"": 0.26184214026487423, ""border_count"": 128, ""depth"": 7, ""l2_leaf_reg"": 1.9731043368656858, ""learning_rate"": 0.12085115288381722, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 41, ""random_strength"": 0.5876404604448352}",COMPLETE
26,0.5611203054142708,2026-09-13 02:05:13.260667,2026-09-13 02:06:39.186398,0 days 00:01:25.925731,0.37810751807010806,128,7,1.5431446213423687,0.13509673812113882,1,15,1.1035411802826312,"{""bagging_temperature"": 0.37810751807010806, ""border_count"": 128, ""depth"": 7, ""l2_leaf_reg"": 1.5431446213423687, ""learning_rate"": 0.13509673812113882, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 15, ""random_strength"": 1.1035411802826312}",COMPLETE
27,0.5641090533758945,2026-09-13 02:06:39.201795,2026-09-13 02:07:51.687358,0 days 00:01:12.485563,0.8160804301483293,128,5,2.1560876386673034,0.1391419478422296,1,7,0.5487085489683579,"{""bagging_temperature"": 0.8160804301483293, ""border_count"": 128, ""depth"": 5, ""l2_leaf_reg"": 2.1560876386673034, ""learning_rate"": 0.1391419478422296, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 7, ""random_strength"": 0.5487085489683579}",COMPLETE
28,0.5646860113267033,2026-09-13 02:07:51.703073,2026-09-13 02:09:10.287880,0 days 00:01:18.584807,0.2246988361356237,128,6,6.141376175703859,0.14125354914953334,1,27,0.9655387941483264,"{""bagging_temperature"": 0.2246988361356237, ""border_count"": 128, ""depth"": 6, ""l2_leaf_reg"": 6.141376175703859, ""learning_rate"": 0.14125354914953334, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 27, ""random_strength"": 0.9655387941483264}",COMPLETE
29,0.5655673550498327,2026-09-13 02:09:10.303953,2026-09-13 02:10:22.339245,0 days 00:01:12.035292,0.3034024766799535,128,5,1.3825281617291671,0.1494147091443782,1,15,0.3425866635170344,"{""bagging_temperature"": 0.3034024766799535, ""border_count"": 128, ""depth"": 5, ""l2_leaf_reg"": 1.3825281617291671, ""learning_rate"": 0.1494147091443782, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 15, ""random_strength"": 0.3425866635170344}",COMPLETE
30,0.5644263435359081,2026-09-13 02:10:22.355348,2026-09-13 02:11:34.798259,0 days 00:01:12.442911,0.24099419256605573,128,5,2.0145187482103535,0.14931031962430064,1,24,0.38828935258491426,"{""bagging_temperature"": 0.24099419256605573, ""border_count"": 128, ""depth"": 5, ""l2_leaf_reg"": 2.0145187482103535, ""learning_rate"": 0.14931031962430064, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 24, ""random_strength"": 0.38828935258491426}",COMPLETE
31,0.5619207056341197,2026-09-13 02:11:34.813875,2026-09-13 02:12:40.720070,0 days 00:01:05.906195,0.6470985348956797,128,4,1.5728551919218614,0.10757300742060458,1,12,0.33058286133906234,"{""bagging_temperature"": 0.6470985348956797, ""border_count"": 128, ""depth"": 4, ""l2_leaf_reg"": 1.5728551919218614, ""learning_rate"": 0.10757300742060458, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 12, ""random_strength"": 0.33058286133906234}",COMPLETE
32,0.5645588655372029,2026-09-13 02:12:40.736251,2026-09-13 02:13:52.720018,0 days 00:01:11.983767,0.13126649176462896,128,5,1.529991352049883,0.13691394652480277,1,22,0.9962947948346879,"{""bagging_temperature"": 0.13126649176462896, ""border_count"": 128, ""depth"": 5, ""l2_leaf_reg"": 1.529991352049883, ""learning_rate"": 0.13691394652480277, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 22, ""random_strength"": 0.9962947948346879}",COMPLETE
33,0.5657114057916934,2026-09-13 02:13:52.735940,2026-09-13 02:15:10.973550,0 days 00:01:18.237610,0.22900578502234903,128,6,1.0835058221096456,0.1305218430778993,1,15,0.497884328094919,"{""bagging_temperature"": 0.22900578502234903, ""border_count"": 128, ""depth"": 6, ""l2_leaf_reg"": 1.0835058221096456, ""learning_rate"": 0.1305218430778993, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 15, ""random_strength"": 0.497884328094919}",COMPLETE
34,0.564984375691945,2026-09-13 02:15:10.989561,2026-09-13 02:16:30.255324,0 days 00:01:19.265763,0.006095783677532662,128,6,1.3782393188272009,0.10546942454381218,1,8,0.4522215458346693,"{""bagging_temperature"": 0.006095783677532662, ""border_count"": 128, ""depth"": 6, ""l2_leaf_reg"": 1.3782393188272009, ""learning_rate"": 0.10546942454381218, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 8, ""random_strength"": 0.4522215458346693}",COMPLETE
35,0.5651293745035436,2026-09-13 02:16:30.271398,2026-09-13 02:17:49.140650,0 days 00:01:18.869252,0.2896851357611783,128,6,1.292777050459276,0.1243752943257961,1,7,0.7956998497459928,"{""bagging_temperature"": 0.2896851357611783, ""border_count"": 128, ""depth"": 6, ""l2_leaf_reg"": 1.292777050459276, ""learning_rate"": 0.1243752943257961, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 7, ""random_strength"": 0.7956998497459928}",COMPLETE
36,0.5645561567119876,2026-09-13 02:17:49.156548,2026-09-13 02:19:08.127171,0 days 00:01:18.970623,0.2600402154548284,128,6,1.4152128199584209,0.13718078541658435,1,33,0.5957555243366728,"{""bagging_temperature"": 0.2600402154548284, ""border_count"": 128, ""depth"": 6, ""l2_leaf_reg"": 1.4152128199584209, ""learning_rate"": 0.13718078541658435, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 33, ""random_strength"": 0.5957555243366728}",COMPLETE
37,0.5620309132549007,2026-09-13 02:19:08.143827,2026-09-13 02:20:20.369735,0 days 00:01:12.225908,0.3480018106898696,128,5,2.1078861362439403,0.09140934350265599,1,2,0.918865707926223,"{""bagging_temperature"": 0.3480018106898696, ""border_count"": 128, ""depth"": 5, ""l2_leaf_reg"": 2.1078861362439403, ""learning_rate"": 0.09140934350265599, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 2, ""random_strength"": 0.918865707926223}",COMPLETE
38,0.5635580025830021,2026-09-13 02:20:20.385493,2026-09-13 02:21:39.272901,0 days 00:01:18.887408,0.23442617580440903,128,6,1.0478809906836006,0.14934470594030044,1,8,0.3150019304458965,"{""bagging_temperature"": 0.23442617580440903, ""border_count"": 128, ""depth"": 6, ""l2_leaf_reg"": 1.0478809906836006, ""learning_rate"": 0.14934470594030044, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 8, ""random_strength"": 0.3150019304458965}",COMPLETE
39,0.5657703613703496,2026-09-13 02:21:39.289037,2026-09-13 02:22:58.164819,0 days 00:01:18.875782,0.21960961867612427,128,6,2.1872290594516843,0.1265222083528331,1,21,0.10863382108976907,"{""bagging_temperature"": 0.21960961867612427, ""border_count"": 128, ""depth"": 6, ""l2_leaf_reg"": 2.1872290594516843, ""learning_rate"": 0.1265222083528331, ""max_ctr_complexity"": 1, ""min_data_in_leaf"": 21, ""random_strength"": 0.10863382108976907}",COMPLETE
